Name,Year_of_Release,Genre,Platform_Name,Publisher_Name
Kowloon's Gate,1997,Adventure,PS,Sony Computer Entertainment
Space Station Silicon Valley,1997,Adventure,N64,Take-Two Interactive
Dark Rift,1997,Fighting,N64,Vic Tokai
Mobile Suit Gundam Side Story III: Sabakareshi Mono,1997,Shooter,SAT,Namco Bandai Games
Mobile Suit Gundam: Perfect One Year War,1997,Strategy,PS,Namco Bandai Games
Turbo Prop Racing,1997,Racing,PS,Sony Computer Entertainment
Fox Sports Golf '99,1997,Sports,PS,Gremlin Interactive Ltd
Thunder Truck Rally,1997,Racing,PS,Psygnosis
Front Mission Alternative,1997,Strategy,PS,SquareSoft
Xevious 3D/G+,1997,Shooter,PS,Sony Computer Entertainment
Bravo Air Race,1997,Racing,PS,THQ
Gundam: The Battle Master,1997,Fighting,PS,Namco Bandai Games
The Granstream Saga,1997,Role-Playing,PS,Sony Computer Entertainment
NCAA Basketball Final Four 97,1997,Sports,PS,Mindscape
The Bombing Islands,1997,Platform,PS,Kemco
Desire,1997,Adventure,SAT,Imadio
Interactive Sampler Disc 6,1997,Misc,PS,Sony Computer Entertainment
Azure Dreams,1997,Role-Playing,PS,Konami Digital Entertainment
Shining Force III,1997,Strategy,SAT,Sega
Nagano Winter Olympics '98,1997,Sports,PS,Konami Digital Entertainment
The House of the Dead,1997,Shooter,SAT,Sega
Momotaro Douchuuki,1997,Misc,SAT,Hudson Soft
Doukyuusei 2,1997,Role-Playing,SAT,NEC Interchannel
Actua Tennis,1997,Sports,PS,Gremlin Interactive Ltd
Sonic Jam,1997,Platform,SAT,Sega
Clock Tower: The First Fear,1997,Adventure,PS,Human Entertainment
Magic: The Gathering - Battlemage,1997,Strategy,PS,Acclaim Entertainment
O.D.T.: Escape... Or Die Trying,1997,Adventure,PS,Psygnosis
Hanagumi Taisen Columns,1997,Puzzle,SAT,Sega
Mass Destruction,1997,Shooter,PS,BMG Interactive Entertainment
Maximum Force,1997,Shooter,PS,GT Interactive
Chameleon Twist,1997,Platform,N64,Sunsoft
Chopper Attack,1997,Action,N64,GT Interactive
Sakura Taisen Hanagumi Tsuushin,1997,Misc,SAT,Sega
Felony 11-79,1997,Racing,PS,ASCII Entertainment
Panzer Dragoon Saga,1997,Role-Playing,SAT,Sega
Langrisser IV,1997,Strategy,SAT,NCS
Hexen: Beyond Heretic,1997,Shooter,PS,GT Interactive
Choujikuu Yousai Macross: Ai Oboete Imasu ka,1997,Shooter,SAT,Namco Bandai Games
Flying Dragon,1997,Fighting,N64,Natsume
International Superstar Soccer 64 (weekly JP sales),1997,Sports,N64,Konami Digital Entertainment
Ghost in the Shell,1997,Simulation,PS,Sony Computer Entertainment
Micro Machines V3,1997,Racing,PS,Codemasters
Descent Maximum,1997,Shooter,PS,Interplay Productions
Shadow Master,1997,Adventure,PS,Psygnosis
Rosco McQueen: Firefighter Extreme,1997,Action,PS,Sony Computer Entertainment
Running Wild,1997,Racing,PS,989 Studios
Porsche Challenge,1997,Racing,PS,Sony Computer Entertainment
Codename Tenka,1997,Shooter,PS,Psygnosis
Wing Commander IV: The Price of Freedom,1997,Simulation,PS,Origin Systems
Sentimental Graffiti: First Window,1997,Adventure,SAT,NEC Interchannel
Ogre Battle Series: Tactics Ogre,1997,Role-Playing,PS,Atlus
Virus,1997,Shooter,SAT,Hudson Soft
Buster Bros. Collection,1997,Puzzle,PS,Capcom
Real Sound: Kaze no Riguretto,1997,Adventure,SAT,Warp
G Darius,1997,Shooter,PS,THQ
Aero Gauge,1997,Racing,N64,ASCII Entertainment
RayStorm,1997,Shooter,PS,Sony Computer Entertainment
Fantastic Four,1997,Action,PS,Acclaim Entertainment
TigerShark,1997,Simulation,PS,GT Interactive
Norse by Norsewest: The Return of the Lost Vikings,1997,Action,PS,Interplay
Mega Man: Battle & Chase,1997,Racing,PS,Capcom
Pandemonium 2,1997,Platform,PS,BMG Interactive Entertainment
Ray Tracers,1997,Racing,PS,Sony Computer Entertainment
Broken Helix,1997,Action,PS,Konami Digital Entertainment
Broken Sword II: The Smoking Mirror,1997,Adventure,PS,Sony Computer Entertainment
Elemental Gearbolt,1997,Shooter,PS,Sony Computer Entertainment
NHL Powerplay 98,1997,Sports,PS,Virgin Interactive
Judge Dredd,1997,Platform,PS,Gremlin Interactive Ltd
Dual Heroes,1997,Fighting,N64,Hudson Soft
Turok: Dinosaur Hunter,1997,Shooter,N64,Acclaim Entertainment
Grand Slam,1997,Misc,PS,Virgin Interactive
Syndicate Wars,1997,Strategy,PS,Electronic Arts
Herc's Adventures,1997,Action,PS,Virgin Interactive
Crypt Killer,1997,Shooter,PS,Konami Digital Entertainment
Darklight Conflict,1997,Simulation,PS,Electronic Arts
Peak Performance,1997,Racing,PS,JVC
Master of Monsters: Disciples of Gaia,1997,Strategy,PS,Agetec
Rush Hour,1997,Misc,PS,Psygnosis
Poy Poy,1997,Action,PS,Konami Digital Entertainment
Nanotek Warrior,1997,Shooter,PS,Virgin Interactive
Bugriders: The Race of Kings,1997,Racing,PS,GT Interactive
Kensei: Sacred Fist,1997,Fighting,PS,Konami Digital Entertainment
Bottom of the 9th '97,1997,Sports,PS,Konami Digital Entertainment
Ballblazer Champions,1997,Sports,PS,CTO SpA
Puzzle Star Sweep,1997,Puzzle,PS,Midas Interactive Entertainment
The Crow: City of Angels,1997,Action,PS,Acclaim Entertainment
Grand Prix Legends,1997,Racing,PC,Vivendi Games
Worms 2,1997,Strategy,PC,Microprose
Pok?mon Yellow: Special Pikachu Edition,1998,Role-Playing,GB,Nintendo
The Legend of Zelda: Ocarina of Time,1998,Action,N64,Nintendo
Tekken 3,1998,Fighting,PS,Sony Computer Entertainment
Crash Bandicoot 3: Warped,1998,Platform,PS,Sony Computer Entertainment
Metal Gear Solid,1998,Action,PS,Konami Digital Entertainment
Resident Evil 2,1998,Action,PS,Virgin Interactive
Spyro the Dragon,1998,Platform,PS,Sony Computer Entertainment
Pok?mon Trading Card Game,1998,Strategy,GB,Nintendo
Banjo-Kazooie,1998,Platform,N64,Nintendo
Grand Theft Auto 2,1998,Action,PS,Take-Two Interactive
WWF War Zone,1998,Fighting,PS,Acclaim Entertainment
Rugrats: Search For Reptar,1998,Adventure,PS,THQ
Need for Speed III: Hot Pursuit,1998,Racing,PS,Electronic Arts
Colin McRae Rally,1998,Racing,PS,Codemasters
A Bug's Life,1998,Platform,PS,Sony Computer Entertainment
Mario Party,1998,Misc,N64,Nintendo
Tomb Raider: The Last Revelation,1998,Action,PS,Eidos Interactive
Sonic Adventure,1998,Platform,DC,Sega
Dino Crisis,1998,Action,PS,Capcom
WCW/nWo Revenge,1998,Fighting,N64,THQ
Dragon Warrior Monsters,1998,Role-Playing,GB,Eidos Interactive
Cool Boarders 3,1998,Sports,PS,989 Studios
The Legend of Zelda: Link's Awakening DX,1998,Adventure,GB,Nintendo
Star Wars: Rogue Squadron,1998,Simulation,N64,Nintendo
Parasite Eve,1998,Role-Playing,PS,SquareSoft
Sim Theme Park,1998,Strategy,PC,Electronic Arts
R4: Ridge Racer Type 4,1998,Racing,PS,Namco Bandai Games
1080?: TenEighty Snowboarding,1998,Sports,N64,Nintendo
Tetris DX,1998,Puzzle,GB,Nintendo
WCW Nitro,1998,Fighting,PS,THQ
FIFA 2000,1998,Sports,PS,Electronic Arts
"Hey You, Pikachu!",1998,Simulation,N64,Nintendo
WWF Attitude,1998,Fighting,PS,Acclaim Entertainment
Madden NFL 2000,1998,Sports,PS,Electronic Arts
Madden NFL 99,1998,Sports,PS,Electronic Arts
Twisted Metal III,1998,Action,PS,989 Studios
Toy Story 2: Buzz Lightyear to the Rescue!,1998,Platform,PS,Activision
WCW/NWO Thunder,1998,Fighting,PS,THQ
Sled Storm,1998,Racing,PS,Electronic Arts
Yu-Gi-Oh! Duel Monsters,1998,Strategy,GB,Konami Digital Entertainment
F-1 World Grand Prix,1998,Racing,N64,Video System
NFL GameDay 99,1998,Sports,PS,989 Studios
NASCAR 99,1998,Racing,PS,Electronic Arts
NBA Live 2000,1998,Sports,PS,Electronic Arts
NFL Blitz,1998,Sports,PS,Midway Games
Pac-Man World,1998,Action,PS,Namco Bandai Games
Xenogears,1998,Role-Playing,PS,SquareSoft
Mortal Kombat 4,1998,Fighting,PS,GT Interactive
WCW vs the World,1998,Fighting,PS,THQ
Duke Nukem: Time to Kill,1998,Shooter,PS,Take-Two Interactive
A Collection of Activision Classic Games for the Atari 2600,1998,Misc,PS,Activision
Pocket Monsters Stadium,1998,Strategy,N64,Nintendo
TOCA 2: Touring Cars,1998,Racing,PS,Codemasters
Devil Dice,1998,Puzzle,PS,THQ
Brian Lara Cricket,1998,Sports,PS,Codemasters
Wheel of Fortune,1998,Misc,PS,Hasbro Interactive
Road Rash 3D,1998,Racing,PS,Electronic Arts
Vigilante 8,1998,Racing,PS,Activision
WCW Mayhem,1998,Fighting,PS,Electronic Arts
Kobe Bryant in NBA Courtside,1998,Sports,N64,Nintendo
Cool Boarders 4,1998,Sports,PS,989 Studios
Brave Fencer Musashi,1998,Role-Playing,PS,SquareSoft
South Park,1998,Shooter,N64,Acclaim Entertainment
Jampack Winter '98,1998,Misc,PS,Sony Computer Entertainment
F-Zero X,1998,Racing,N64,Nintendo
Star Ocean: The Second Story,1998,Role-Playing,PS,Sony Computer Entertainment
BeatMania,1998,Simulation,PS,Konami Digital Entertainment
NFL Blitz 2000,1998,Sports,PS,Midway Games
Ready 2 Rumble Boxing,1998,Sports,PS,Midway Games
NCAA Football 99,1998,Sports,PS,Electronic Arts
Simple 1500 Series Vol. 1: The Mahjong,1998,Misc,PS,D3Publisher
Monster Rancher 2,1998,Simulation,PS,Sony Computer Entertainment
Jeremy McGrath Supercross 98,1998,Racing,PS,Acclaim Entertainment
Street Fighter Alpha 3,1998,Fighting,PS,Virgin Interactive
Pong: The Next Level,1998,Puzzle,PS,Hasbro Interactive
Oddworld: Abe's Exoddus,1998,Platform,PS,GT Interactive
Glover,1998,Platform,N64,Hasbro Interactive
NHL 2000,1998,Sports,PS,Electronic Arts
MLB 99,1998,Sports,PS,Sony Computer Entertainment
The Game of Life,1998,Misc,PS,Unknown
MediEvil,1998,Platform,PS,Sony Computer Entertainment
The Next Tetris,1998,Puzzle,PS,Atari
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,1998,Sports,PS,Konami Digital Entertainment
Major League Baseball Featuring Ken Griffey Jr,1998,Sports,N64,Nintendo
NBA ShootOut 98,1998,Sports,PS,Sony Computer Entertainment
ISS Pro Evolution,1998,Sports,PS,Konami Digital Entertainment
SD Gundam G Generation,1998,Strategy,PS,Namco Bandai Games
Fear Effect,1998,Action,PS,Eidos Interactive
Command & Conquer: Red Alert Retaliation,1998,Strategy,PS,Virgin Interactive
Chocobo's Dungeon 2,1998,Role-Playing,PS,SquareSoft
NFL Xtreme,1998,Sports,PS,Sony Computer Entertainment
Bushido Blade 2,1998,Fighting,PS,SquareSoft
Suikoden II,1998,Role-Playing,PS,Konami Digital Entertainment
Street Sk8er,1998,Sports,PS,Electronic Arts
Spice World,1998,Action,PS,Sony Computer Entertainment
Tiger Woods PGA Tour 2000,1998,Sports,PS,Electronic Arts
Legend of Legaia,1998,Role-Playing,PS,Sony Computer Entertainment
Um Jammer Lammy,1998,Misc,PS,Sony Computer Entertainment
Animaniacs Ten Pin Alley,1998,Sports,PS,ASC Games
Cruis'n World,1998,Racing,N64,Nintendo
NFL Quarterback Club 99,1998,Sports,N64,Acclaim Entertainment
Small Soldiers,1998,Platform,PS,Electronic Arts
BeatMania Append 3rdMix,1998,Simulation,PS,Konami Digital Entertainment
Xena: Warrior Princess,1998,Adventure,PS,Electronic Arts
CyberTiger,1998,Sports,PS,Electronic Arts
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,1998,Sports,PS,Konami Digital Entertainment
World Cup 98,1998,Sports,N64,Electronic Arts
International Superstar Soccer '98,1998,Sports,N64,Konami Digital Entertainment
Tales of Phantasia,1998,Role-Playing,PS,Namco Bandai Games
Gex: Enter the Gecko,1998,Platform,PS,BMG Interactive Entertainment
Championship Motocross featuring Ricky Carmichael,1998,Racing,PS,THQ
Lunar: Silver Star Story Complete,1998,Role-Playing,PS,Kadokawa Shoten
Super Robot Taisen F Kanketsuhen,1998,Strategy,SAT,Banpresto
FIFA 99,1998,Sports,N64,Electronic Arts
Bust A Groove,1998,Misc,PS,Sony Computer Entertainment
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",1998,Adventure,SAT,Sega
Rival Schools: United By Fate,1998,Fighting,PS,Capcom
Wu-Tang: Shaolin Style,1998,Fighting,PS,Activision
All-Star Baseball 99,1998,Sports,N64,Acclaim Entertainment
Bomberman Hero,1998,Platform,N64,Nintendo
Quest 64,1998,Role-Playing,N64,Konami Digital Entertainment
NCAA Gamebreaker 99,1998,Sports,PS,989 Studios
World Stadium 2,1998,Sports,PS,Namco Bandai Games
Apocalypse,1998,Action,PS,Activision
WipEout 64,1998,Racing,N64,Midway Games
Rascal,1998,Action,PS,Psygnosis
JGTC: All-Japan Grand Touring Car Championship,1998,Racing,PS,TYO
Rush 2: Extreme Racing USA,1998,Racing,N64,Midway Games
International Superstar Soccer Pro '98,1998,Sports,PS,Konami Digital Entertainment
Quake II,1998,Shooter,PS,Activision
'98 Koshien,1998,Sports,PS,Magical Company
Thrasher Presents: Skate and Destroy,1998,Sports,PS,Take-Two Interactive
Extreme-G: XG2,1998,Racing,N64,Acclaim Entertainment
Wario Land II (GBC),1998,Platform,GB,Nintendo
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,1998,Racing,PS,Human Entertainment
Ninja: Shadow of Darkness,1998,Action,PS,Eidos Interactive
Rogue Trip: Vacation 2012,1998,Racing,PS,GT Interactive
Yarudora Series Vol.1: Double Cast,1998,Adventure,PS,Sony Computer Entertainment
Virtua Fighter 3tb,1998,Fighting,DC,Sega
South Park Rally,1998,Racing,PS,Acclaim Entertainment
Blasto,1998,Action,PS,Sony Computer Entertainment
Rally Cross 2,1998,Racing,PS,989 Studios
Kurushi Final: Mental Blocks,1998,Puzzle,PS,Sony Computer Entertainment
Off Road Challenge,1998,Racing,N64,GT Interactive
Backstreet Billiards,1998,Misc,PS,ASCII Entertainment
Tiny Tank,1998,Action,PS,Sony Computer Entertainment
Bomberman World,1998,Puzzle,PS,Sony Computer Entertainment
Deathtrap Dungeon,1998,Action,PS,Eidos Interactive
BattleTanx,1998,Action,N64,3DO
Pitfall 3D: Beyond the Jungle,1998,Platform,PS,Activision
NHL Breakaway 98,1998,Sports,N64,Acclaim Entertainment
Heart of Darkness,1998,Platform,PS,Ocean
Sesame Street: Elmo's Letter Adventure,1998,Misc,PS,NewKidCo
Tiny Toon Adventures: The Great Beanstalk,1998,Misc,PS,Sony Computer Entertainment
Goemon's Great Adventure,1998,Platform,N64,Konami Digital Entertainment
Demolition Racer,1998,Racing,PS,Infogrames
NHL FaceOff 2000,1998,Sports,PS,Sony Computer Entertainment
South Park: Chef's Luv Shack,1998,Misc,PS,Acclaim Entertainment
Ehrgeiz,1998,Fighting,PS,SquareSoft
Kagero: Deception II,1998,Strategy,PS,Virgin Interactive
Viz,1998,Racing,N64,Acclaim Entertainment
Top Gear Overdrive,1998,Racing,N64,Kemco
Dead or Alive,1998,Fighting,PS,Sony Computer Entertainment
Civilization II,1998,Strategy,PS,Activision
Yu-Gi-Oh! Monster Capsule Breed & Battle,1998,Role-Playing,PS,Konami Digital Entertainment
Warpath: Jurassic Park,1998,Fighting,PS,Electronic Arts
Resident Evil 2: Dual Shock Edition,1998,Action,PS,Capcom
Jikkyou Powerful Pro Yakyuu 5,1998,Sports,N64,Konami Digital Entertainment
NBA Jam 99,1998,Sports,N64,Acclaim Entertainment
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,1998,Sports,PS,Konami Digital Entertainment
Jade Cocoon: Story of the Tamamayu,1998,Role-Playing,PS,Crave Entertainment
The House of the Dead 2,1998,Shooter,DC,Sega
Marvel Super Heroes vs. Street Fighter,1998,Fighting,PS,Virgin Interactive
Choro Q3,1998,Racing,PS,Takara
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,1998,Sports,PS,Axela
Kidou Senshi Gundam: Giren no Yabou,1998,Strategy,SAT,Namco Bandai Games
Evil Zone,1998,Fighting,PS,Titus
Fox Sports College Hoops '99,1998,Sports,N64,Fox Interactive
Gex 64: Enter the Gecko,1998,Action,N64,GT Interactive
Caesars Palace II,1998,Misc,PS,Interplay
Pro Yakyuu Team o Tsukurou!,1998,Sports,SAT,Sega
Sentimental Graffiti,1998,Adventure,SAT,NEC Interchannel
Lucky Luke,1998,Platform,PS,Ocean
Forsaken,1998,Shooter,PS,Acclaim Entertainment
Wild 9,1998,Action,PS,Interplay
Sesame Street: Elmo's Number Journey,1998,Misc,PS,NewKidCo
Street Fighter EX2 Plus,1998,Fighting,PS,Virgin Interactive
Gundam Battle Assault,1998,Fighting,PS,Namco Bandai Games
Colony Wars: Vengeance,1998,Simulation,PS,Psygnosis
Rampage 2: Universal Tour,1998,Action,PS,GT Interactive
Shin Nippon Pro Wrestling: Toukon Retsuden 3,1998,Fighting,PS,Tomy Corporation
Bust-A-Move 4,1998,Puzzle,PS,Acclaim Entertainment
NHL Championship 2000,1998,Sports,PS,Fox Interactive
Kartia: The Word of Fate,1998,Strategy,PS,Konami Digital Entertainment
Yarudora Series Vol. 2: Kisetsu wo Dakishimete,1998,Adventure,PS,Sony Computer Entertainment
Speed Punks,1998,Racing,PS,Sony Computer Entertainment
Twisted Edge Extreme Snowboarding,1998,Sports,N64,Kemco
Body Harvest,1998,Shooter,N64,Gremlin Interactive Ltd
Re-Volt,1998,Racing,PS,Acclaim Entertainment
Darkstalkers 3,1998,Fighting,PS,Capcom
Quake,1998,Shooter,N64,GT Interactive
Vampire Savior: The Lord of Vampire,1998,Fighting,SAT,Capcom
Brunswick Circuit Pro Bowling,1998,Sports,PS,THQ
The King of Fighters '97,1998,Fighting,PS,SNK
Fighter Maker,1998,Fighting,PS,Agetec
Clock Tower II: The Struggle Within,1998,Adventure,PS,Human Entertainment
Kawa no Nushi Tsuri,1998,Sports,PS,Victor Interactive
N2O: Nitrous Oxide,1998,Racing,PS,Gremlin Interactive Ltd
Fighters Destiny,1998,Fighting,N64,Ocean
Buck Bumble,1998,Action,N64,Ubisoft
Eve: The Lost One,1998,Adventure,SAT,Imagineer
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,1998,Misc,PS,Syscom
Winning Post 3,1998,Racing,PS,Tecmo Koei
Streak: Hoverboard Racing,1998,Racing,PS,GT Interactive
T'ai Fu: Wrath of the Tiger,1998,Action,PS,Activision
Chessmaster II,1998,Strategy,PS,Mindscape
Cardinal Syn,1998,Fighting,PS,Sony Computer Entertainment
The Fifth Element,1998,Action,PS,Sony Computer Entertainment
Power Stone,1998,Fighting,DC,Eidos Interactive
Soukaigi,1998,Role-Playing,PS,SquareSoft
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,1998,Adventure,PS,Sunsoft
Project V6,1998,Strategy,PS,General Entertainment
Bio FREAKS,1998,Action,N64,GT Interactive
RockMan & Forte,1998,Platform,SNES,Capcom
Houshinengi,1998,Strategy,PS,Tecmo Koei
Guilty Gear,1998,Fighting,PS,Virgin Interactive
Castrol Honda Superbike Racing,1998,Racing,PS,THQ
The Unholy War,1998,Strategy,PS,Eidos Interactive
No Fear Downhill Mountain Biking,1998,Sports,PS,Codemasters
Assault: Retribution,1998,Action,PS,Telstar
SkullMonkeys,1998,Platform,PS,DreamWorks Interactive
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,1998,Sports,SAT,Sega
Strikers 1945,1998,Shooter,PS,Midas Interactive Entertainment
Echo Night,1998,Adventure,PS,From Software
Guardian's Crusade,1998,Role-Playing,PS,Activision
Bomberman Party Edition,1998,Puzzle,PS,Virgin Interactive
Akuji the Heartless,1998,Platform,PS,Eidos Interactive
Crime Killer,1998,Racing,PS,Interplay
Lunar 2: Eternal Blue,1998,Role-Playing,SAT,Kadokawa Shoten
Thousand Arms,1998,Role-Playing,PS,Atlus
Stolen Song,1998,Adventure,PS,Sony Computer Entertainment
Doukoku Shoshite...,1998,Adventure,SAT,Data East
Shinseiki Evangelion: Koutetsu no Girlfriend,1998,Adventure,PS,Gainax Network Systems
Batman & Robin,1998,Action,PS,Acclaim Entertainment
"Grand Theft Auto: Mission Pack #1, London 1969",1998,Adventure,PS,Take-Two Interactive
Dragonseeds,1998,Action,PS,Jaleco
Virtual Pool 64,1998,Sports,N64,Crave Entertainment
Lode Runner 3-D,1998,Action,N64,Infogrames
GT64 Championship Edition,1998,Racing,N64,Ocean
Milo's Astro Lanes,1998,Sports,N64,Interplay
Option Tuning Car Battle,1998,Racing,PS,MTO
Shadow Tower,1998,Role-Playing,PS,From Software
Neo Atlas,1998,Strategy,PS,ArtDink
Langrisser V: The End of Legend,1998,Strategy,SAT,NCS
Populous: The Beginning,1998,Strategy,PS,Electronic Arts
World Cup '98 France: Road to Win,1998,Sports,SAT,Sega
Pro Yakyuu Greatest Nine 98,1998,Sports,SAT,Sega
Brigandine: The Legend of Forsena,1998,Strategy,PS,Atlus
Sound Novel Machi,1998,Adventure,SAT,ChunSoft
Hello Kitty's Cube Frenzy,1998,Puzzle,PS,Culture Publishers
V-Rally Edition 99,1998,Racing,N64,Infogrames
Golden Nugget 64,1998,Misc,N64,Electronic Arts
Robotron 64,1998,Shooter,N64,GT Interactive
Invasion From Beyond,1998,Shooter,PS,GT Interactive
Wreckin Crew,1998,Racing,PS,Telstar
S.C.A.R.S,1998,Racing,PS,Ubisoft
Godzilla Generations,1998,Action,DC,Sega
Derby Stallion 98,1998,Sports,SNES,ASCII Entertainment
Slayers Royal,1998,Role-Playing,PS,Kadokawa Shoten
R/C Stunt Copter,1998,Simulation,PS,Interplay
Black/Matrix,1998,Strategy,SAT,NEC Interchannel
Knife Edge: NoseGunner,1998,Shooter,N64,Mitsui
Wetrix,1998,Puzzle,N64,Ocean
NHL Breakaway 99,1998,Sports,N64,Acclaim Entertainment
Iggy's Reckin' Balls,1998,Racing,N64,Acclaim Entertainment
Real Robots Final Attack,1998,Shooter,PS,Banpresto
Auto Destruct,1998,Action,PS,Electronic Arts
Deep Fear,1998,Adventure,SAT,Sega
Slayers Royal 2,1998,Role-Playing,SAT,Kadokawa Shoten
No One Can Stop Mr. Domino!,1998,Misc,PS,JVC
Dragon Force II: Kamisarishi Daichi ni,1998,Strategy,SAT,Sega
Monkey Hero,1998,Action,PS,Take-Two Interactive
Wizardry: Llylgamyn Saga,1998,Role-Playing,PS,Locus
Uprising X,1998,Action,PS,3DO
NO?L: La Neige,1998,Adventure,PS,Pioneer LDC
Roll Away,1998,Puzzle,PS,Sony Computer Entertainment
Alexi Lalas International Soccer,1998,Sports,PS,Take-Two Interactive
Vanguard Bandits,1998,Strategy,PS,Human Entertainment
Blast Radius,1998,Action,PS,Psygnosis
Super Robot Spirits,1998,Fighting,N64,Banpresto
Circuit Breakers,1998,Racing,PS,Mindscape
OverBlood 2,1998,Action,PS,Evolution Games
Power Pro GB,1998,Sports,GB,Konami Digital Entertainment
Destrega,1998,Fighting,PS,Sony Computer Entertainment
C: The Contra Adventure,1998,Shooter,PS,Konami Digital Entertainment
Ojyousama Express,1998,Strategy,PS,Media Works
July,1998,Adventure,DC,Fortyfive
GunGriffon II,1998,Simulation,SAT,ESP
R-Types,1998,Shooter,PS,Virgin Interactive
Tokimeki no Houkago,1998,Misc,PS,Konami Digital Entertainment
PenPen TriIceLon,1998,Racing,DC,Infogrames
Olympic Hockey 98,1998,Sports,N64,GT Interactive
Virtual Chess 64,1998,Misc,N64,Titus
Mike Piazza's Strike Zone,1998,Sports,N64,GT Interactive
Star Soldier: Vanishing Earth,1998,Shooter,N64,Hudson Entertainment
Real Bout Garou Densetsu Special: Dominated Mind,1998,Fighting,PS,SNK
Burning Rangers,1998,Platform,SAT,Sega
Choro Q Marine: Q Boat,1998,Racing,PS,Takara
Shining Force III: Scenario 2,1998,Strategy,SAT,Sega
Bottom of the 9th '99,1998,Sports,PS,Konami Digital Entertainment
Tiny Toon Adventures: Toonenstein - Dare to Scare,1998,Action,PS,Swing! Entertainment
Thunder Force V: Perfect System,1998,Shooter,PS,TechnoSoft
Bakusou Kyoudai Let's & Go!! Eternal Wings,1998,Racing,PS,Jaleco
Chameleon Twist 2,1998,Platform,N64,Infogrames
Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,1998,Misc,PS,Gainax Network Systems
StarCraft,1998,Strategy,PC,Activision
Silhouette Mirage,1998,Platform,PS,ESP
Romance of the Three Kingdoms VI: Awakening of the Dragon,1998,Strategy,PS,Tecmo Koei
Angelique Duet,1998,Strategy,PS,Tecmo Koei
The King of Fighters Kyo,1998,Fighting,PS,SNK Playmore
Breeding Stud 2,1998,Sports,PS,Konami Digital Entertainment
Dead Ball Zone,1998,Sports,PS,GT Interactive
NBA In The Zone '99,1998,Sports,N64,Konami Digital Entertainment
Deadly Arts,1998,Fighting,N64,Konami Digital Entertainment
Point Blank 2,1998,Shooter,PS,Namco Bandai Games
Warhammer: Dark Omen,1998,Strategy,PS,Electronic Arts
Caesar III,1998,Strategy,PC,Vivendi Games
Planescape: Torment,1998,Role-Playing,PC,Interplay
Radiant Silvergun,1998,Shooter,SAT,ESP
Trap Gunner: Countdown to Oblivion,1998,Strategy,PS,Konami Digital Entertainment
Tail Concerto,1998,Adventure,PS,Namco Bandai Games
Madou Monogatari,1998,Role-Playing,SAT,Compile
Highschool Terra Story,1998,Adventure,SAT,KID
MotorHead,1998,Racing,PS,Gremlin Interactive Ltd
Starshot: Space Circus Fever,1998,Platform,N64,Infogrames
Big Mountain 2000,1998,Sports,N64,Imagineer
Nectaris: Military Madness,1998,Strategy,PS,Hudson Soft
Timeshock! Pro Pinball,1998,Misc,PS,Empire Interactive
R-Type Delta,1998,Shooter,PS,Irem Software Engineering
Pharaoh,1998,Strategy,PC,Vivendi Games
Bomberman Fantasy Race,1998,Racing,PS,Virgin Interactive
Shanghai: True Valor,1998,Puzzle,PS,Activision
Homeworld,1998,Strategy,PC,Vivendi Games
Code R,1998,Adventure,SAT,Quintet
Adidas Power Soccer 98,1998,Sports,PS,Psygnosis
Rising Zan: The Samurai Gunman,1998,Action,PS,Agetec
Irritating Stick,1998,Action,PS,Saurus
Pokemon Gold/Pokemon Silver,1999,Role-Playing,GB,Nintendo
Gran Turismo 2,1999,Racing,PS,Sony Computer Entertainment
Final Fantasy VIII,1999,Role-Playing,PS,SquareSoft
Driver,1999,Action,PS,GT Interactive
Super Smash Bros.,1999,Fighting,N64,Nintendo
Pokemon Stadium,1999,Strategy,N64,Nintendo
Pokemon Pinball,1999,Misc,GB,Nintendo
Donkey Kong 64,1999,Platform,N64,Nintendo
Tony Hawk's Pro Skater,1999,Sports,PS,Activision
Warzone 2100,1999,Strategy,PS,Eidos Interactive
Crash Team Racing,1999,Racing,PS,Sony Computer Entertainment
Resident Evil 3: Nemesis,1999,Action,PS,Eidos Interactive
Pokemon Snap,1999,Simulation,N64,Nintendo
Spyro 2: Ripto's Rage!,1999,Platform,PS,Sony Computer Entertainment
007: Tomorrow Never Dies,1999,Shooter,PS,Electronic Arts
Star Wars Episode I Racer,1999,Racing,N64,Nintendo
Syphon Filter,1999,Shooter,PS,Sony Computer Entertainment
Mario Party 2,1999,Misc,N64,Nintendo
Need For Speed: High Stakes,1999,Racing,PS,Electronic Arts
Who wants to be a millionaire,1999,Misc,PC,Disney Interactive Studios
Yu-Gi-Oh! Forbidden Memories,1999,Role-Playing,PS,Konami Digital Entertainment
